               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.043148,              0.1032,                   0,             0.81051,             0.76923,              0.7459,               0.243,            0.051615,            0.091096,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.042698,            0.099709,                   0,             0.83777,             0.79447,             0.77762,             0.26392,            0.051574,            0.090352,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.043182,             0.10078,                   0,             0.82633,             0.77885,             0.75468,             0.26605,            0.050512,            0.088865,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.042574,             0.10383,                   0,             0.87043,             0.76923,             0.76081,             0.27064,            0.050824,            0.085959,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.042559,             0.10305,                   0,             0.85735,             0.75126,             0.74755,              0.2411,            0.052804,             0.08556,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.042046,            0.099484,                   0,             0.92845,             0.80769,             0.83316,             0.28187,             0.04879,            0.087515,                   0,            0.001486,            0.001486,            0.001486
                  45,             0.04176,             0.10116,                   0,             0.90099,                0.75,             0.79377,             0.27272,            0.049161,            0.088245,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.041778,            0.098198,                   0,             0.88557,                0.75,             0.76096,             0.26418,            0.049546,            0.091233,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.041854,             0.10116,                   0,             0.87764,             0.76923,              0.7979,             0.27919,            0.048606,            0.091123,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.041852,             0.10189,                   0,             0.89876,             0.78846,             0.81347,             0.27018,            0.049637,            0.091357,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.041969,             0.10337,                   0,             0.89049,             0.78192,             0.80392,             0.27925,            0.049232,            0.090875,                   0,            0.000496,            0.000496,            0.000496
